
CCTV央视,#genre#
CCTV1 综合,http://tvpull.dxhmt.cn/tv/11481-4.m3u8
CCTV1 综合,http://tvpull.dxhmt.cn/tv/11481-2.m3u8
CCTV1 综合,http://tvpull.dxhmt.cn/tv/11081-2.m3u8
CCTV1 综合,http://tvpull.dxhmt.cn/tv/11330-1.m3u8
CCTV1 综合,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV1 综合,http://stream10.fjtv.net/cctv1/playlist.m3u8?_upt=d7a131181702176307
CCTV1 综合,https://ldncctvwbndtxy.liveplay.myqcloud.com/ldncctvwbnd/ldcctv1_2/index.m3u8

CCTV2 财经,http://222.240.82.92:9901/tsfile/live/0002_1.m3u8
CCTV2 财经,http://111.9.172.131:9901/tsfile/live/0002_2.m3u8
CCTV2 财经,https://iptv.luas.edu.cn/liverespath/6b13fe5368d391761312a985ace065c0ecad2f5e/877097d2fa-0-0-b7736e6941fd5cb71f45ef9397b68092/index.m3u8
CCTV2 财经,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?&encrypt=
CCTV3 综艺,http://222.240.82.92:9901/tsfile/live/0003_1.m3u8
CCTV3 综艺,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV4 中文国际,http://222.240.82.92:9901/tsfile/live/0004_1.m3u8
CCTV4 中文国际 欧洲,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?&encrypt=
CCTV4K 超高清,http://cfss.cc/api/ysp/cctv4k.m3u8
CCTV5 体育,http://222.240.82.92:9901/tsfile/live/0005_1.m3u8
CCTV4 中文国际,http://111.63.117.13:6060/030000001000/CCTV-4/CCTV-4.m3u8
CCTV5 体育,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV5+ 体育赛事,http://111.63.117.13:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV6 电影,http://222.240.82.92:9901/tsfile/live/0006_1.m3u8
CCTV6 电影,http://111.63.117.13:6060/030000001000/CCTV-6/CCTV-6.m3u8
CCTV7 国防军事,http://222.240.82.92:9901/tsfile/live/0007_1.m3u8
CCTV8 电视剧,http://222.240.82.92:9901/tsfile/live/0008_1.m3u8
CCTV9 记录,http://222.240.82.92:9901/tsfile/live/0009_1.m3u8
CCTV10 科教,http://222.240.82.92:9901/tsfile/live/0010_1.m3u8
CCTV11 戏曲,http://222.240.82.92:9901/tsfile/live/0011_1.m3u8
CCTV12 社会与法,http://222.240.82.92:9901/tsfile/live/0012_1.m3u8
CCTV13 新闻,http://222.240.82.92:9901/tsfile/live/0013_1.m3u8
CCTV14 少儿,http://222.240.82.92:9901/tsfile/live/0014_1.m3u8
CCTV1 综合,http://cfss.cc/api/ysp/CCTV1.m3u8
CCTV2 财经,http://cfss.cc/api/ysp/CCTV2.m3u8
CCTV3 综艺,http://cfss.cc/api/ysp/CCTV3.m3u8
